Usia;Kelompok
15        ;Remaja              
11        ;Kanak-Kanak         
62        ;Tua                 
50        ;Dewasa              
12        ;Remaja              
25        ;Dewasa              
32        ;Dewasa              
11        ;Kanak-Kanak         
55        ;Tua                 
75        ;Tua                 
39        ;Dewasa              
48        ;Dewasa              
70        ;Tua                 
18        ;Pemuda              
50        ;Dewasa              
22        ;Pemuda              
51        ;Dewasa              
73        ;Tua                 
33        ;Dewasa              
62        ;Tua                 
51        ;Dewasa              
25        ;Dewasa              
72        ;Tua                 
71        ;Tua                 
31        ;Dewasa              
53        ;Dewasa              
35        ;Dewasa              
70        ;Tua                 
27        ;Dewasa              
51        ;Dewasa              
3         ;Balita              
69        ;Tua                 
34        ;Dewasa              
1         ;Balita              
19        ;Pemuda              
20        ;Pemuda              
36        ;Dewasa              
34        ;Dewasa              
20        ;Pemuda              
1         ;Balita              
62        ;Tua                 
3         ;Balita              
29        ;Dewasa              
24        ;Dewasa              
39        ;Dewasa              
23        ;Pemuda              
6         ;Kanak-Kanak         
26        ;Dewasa              
58        ;Tua                 
57        ;Tua                 
25        ;Dewasa              
51        ;Dewasa              
74        ;Tua                 
19        ;Pemuda              
72        ;Tua                 
25        ;Dewasa              
22        ;Pemuda              
19        ;Pemuda              
5         ;Balita              
31        ;Dewasa              
73        ;Tua                 
6         ;Kanak-Kanak         
5         ;Balita              
14        ;Remaja              
49        ;Dewasa              
74        ;Tua                 
23        ;Pemuda              
21        ;Pemuda              
42        ;Dewasa              
77        ;Tua                 
66        ;Tua                 
34        ;Dewasa              
38        ;Dewasa              
31        ;Dewasa              
47        ;Dewasa              
41        ;Dewasa              
19        ;Pemuda              
78        ;Tua                 
27        ;Dewasa              
7         ;Kanak-Kanak         
26        ;Dewasa              
12        ;Remaja              
5         ;Balita              
66        ;Tua                 
64        ;Tua                 
13        ;Remaja              
52        ;Dewasa              
67        ;Tua                 
42        ;Dewasa              
12        ;Remaja              
17        ;Pemuda              
44        ;Dewasa              
69        ;Tua                 
32        ;Dewasa              
18        ;Pemuda              
54        ;Dewasa              
4         ;Balita              
55        ;Tua                 
6         ;Kanak-Kanak         
12        ;Remaja              
